competition_id,data,distancia_m,is_closed,lloc,modalitat_nom,nom_cursa,ok_d,ok_h,ok_total,race_id,te_pdf_resultats,te_resultats_digitals,total_resultats
6lZJWbl1,2026-08-02,7000,False,Cabanas,ABSOLUTA,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,40,150,190,4jorQ79Y,True,True,190
6lZJWbl1,2026-08-02,3600,False,Cabanas,SUB 18 E SUB 16,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,2,8,10,Kj6GqNlR,True,True,10
6lZJWbl1,2026-08-02,1800,False,Cabanas,SUB 14,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,9,5,14,vlvw6kmy,True,True,14
6lZJWbl1,2026-08-02,1000,False,Cabanas,SUB 12 E SUB 10,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,21,23,44,yjPVvyme,True,True,44
6lZJWbl1,2026-08-02,300,False,Cabanas,PEQUES,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,,,,pld8LDlR,True,False,0
6lZJWbl1,2026-08-02,100,False,Cabanas,PITUFOS,XXXIII CROS POPULAR PIÑEIRAL DE CABANAS 2026,,,,emD2yWjD,True,False,0
omrYJWl2,2026-08-01,10000,False,Vilagarcía de Arousa,ABS 10K,XXII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA - CTO. XUNTA DE GALICIA DE 10 K,140,445,585,V9LP339J,True,True,585
omrYJWl2,2026-08-01,10000,False,Vilagarcía de Arousa,CAMPIONATO 10K,XXII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA - CTO. XUNTA DE GALICIA DE 10 K,70,185,255,omrA0ol2,True,True,255
omrYJWl2,2026-08-01,1800,False,Vilagarcía de Arousa,SUB 16 E SUB 18,XXII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA - CTO. XUNTA DE GALICIA DE 10 K,7,11,18,bl3yGz9P,True,True,18
omrYJWl2,2026-08-01,1000,False,Vilagarcía de Arousa,SUB 14,XXII CARREIRA NOCTURNA CONCELLO DE VILAGARCÍA - CTO. XUNTA DE GALICIA DE 10 K,19,10,29,2jWXQvl6,True,True,29
